imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code
LZ_noise\LZ_noise_32.jpg,LZ_noise\LZ_noise_128.jpg,LZ_noise\LZ_noise_138.jpg,LZ_noise\LZ_noise_123.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_138.jpg,1,a,3,31
LZ_noise\LZ_noise_7.jpg,LZ_noise\LZ_noise_22.jpg,LZ_noise\LZ_noise_120.jpg,LZ_noise\LZ_noise_172.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_174.jpg,0,l,3,31
LZ_noise\LZ_noise_142.jpg,LZ_noise\LZ_noise_9.jpg,LZ_noise\LZ_noise_216.jpg,LZ_noise\LZ_noise_225.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_216.jpg,1,a,3,31
LZ_noise\LZ_noise_97.jpg,LZ_noise\LZ_noise_92.jpg,LZ_noise\LZ_noise_82.jpg,LZ_noise\LZ_noise_223.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_97.jpg,1,a,3,31
LZ_noise\LZ_noise_161.jpg,LZ_noise\LZ_noise_33.jpg,LZ_noise\LZ_noise_105.jpg,LZ_noise\LZ_noise_121.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_33.jpg,1,a,3,31
LZ_noise\LZ_noise_99.jpg,LZ_noise\LZ_noise_207.jpg,LZ_noise\LZ_noise_154.jpg,LZ_noise\LZ_noise_170.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_154.jpg,1,a,3,31
LZ_noise\LZ_noise_98.jpg,LZ_noise\LZ_noise_173.jpg,LZ_noise\LZ_noise_62.jpg,LZ_noise\LZ_noise_201.jpg,LZ_noise\LZ_noise_126.jpg,LZ_noise\LZ_noise_144.jpg,LZ_noise\LZ_noise_53.jpg,LZ_noise\LZ_noise_212.jpg,,,,,,,,,2,LZ_noise\LZ_noise_62.jpg,1,a,3,32
LZ_noise\LZ_noise_79.jpg,LZ_noise\LZ_noise_165.jpg,LZ_noise\LZ_noise_196.jpg,LZ_noise\LZ_noise_171.jpg,LZ_noise\LZ_noise_119.jpg,LZ_noise\LZ_noise_182.jpg,LZ_noise\LZ_noise_191.jpg,LZ_noise\LZ_noise_39.jpg,,,,,,,,,2,LZ_noise\LZ_noise_196.jpg,1,a,3,32
LZ_noise\LZ_noise_197.jpg,LZ_noise\LZ_noise_230.jpg,LZ_noise\LZ_noise_156.jpg,LZ_noise\LZ_noise_149.jpg,LZ_noise\LZ_noise_203.jpg,LZ_noise\LZ_noise_215.jpg,LZ_noise\LZ_noise_210.jpg,LZ_noise\LZ_noise_219.jpg,,,,,,,,,2,LZ_noise\LZ_noise_197.jpg,1,a,3,32
LZ_noise\LZ_noise_199.jpg,LZ_noise\LZ_noise_137.jpg,LZ_noise\LZ_noise_93.jpg,LZ_noise\LZ_noise_5.jpg,LZ_noise\LZ_noise_163.jpg,LZ_noise\LZ_noise_84.jpg,LZ_noise\LZ_noise_46.jpg,LZ_noise\LZ_noise_114.jpg,,,,,,,,,2,LZ_noise\LZ_noise_84.jpg,1,a,3,32
LZ_noise\LZ_noise_27.jpg,LZ_noise\LZ_noise_186.jpg,LZ_noise\LZ_noise_218.jpg,LZ_noise\LZ_noise_112.jpg,LZ_noise\LZ_noise_200.jpg,LZ_noise\LZ_noise_15.jpg,LZ_noise\LZ_noise_134.jpg,LZ_noise\LZ_noise_192.jpg,,,,,,,,,2,LZ_noise\LZ_noise_233.jpg,0,l,3,32
LZ_noise\LZ_noise_28.jpg,LZ_noise\LZ_noise_240.jpg,LZ_noise\LZ_noise_205.jpg,LZ_noise\LZ_noise_60.jpg,LZ_noise\LZ_noise_29.jpg,LZ_noise\LZ_noise_115.jpg,LZ_noise\LZ_noise_148.jpg,LZ_noise\LZ_noise_1.jpg,,,,,,,,,2,LZ_noise\LZ_noise_3.jpg,0,l,3,32
LZ_noise\LZ_noise_102.jpg,LZ_noise\LZ_noise_130.jpg,LZ_noise\LZ_noise_236.jpg,LZ_noise\LZ_noise_95.jpg,LZ_noise\LZ_noise_127.jpg,LZ_noise\LZ_noise_65.jpg,LZ_noise\LZ_noise_181.jpg,LZ_noise\LZ_noise_75.jpg,LZ_noise\LZ_noise_80.jpg,LZ_noise\LZ_noise_90.jpg,LZ_noise\LZ_noise_12.jpg,LZ_noise\LZ_noise_190.jpg,,,,,3,LZ_noise\LZ_noise_73.jpg,0,l,3,33
LZ_noise\LZ_noise_25.jpg,LZ_noise\LZ_noise_71.jpg,LZ_noise\LZ_noise_141.jpg,LZ_noise\LZ_noise_125.jpg,LZ_noise\LZ_noise_136.jpg,LZ_noise\LZ_noise_139.jpg,LZ_noise\LZ_noise_235.jpg,LZ_noise\LZ_noise_155.jpg,LZ_noise\LZ_noise_110.jpg,LZ_noise\LZ_noise_44.jpg,LZ_noise\LZ_noise_198.jpg,LZ_noise\LZ_noise_58.jpg,,,,,3,LZ_noise\LZ_noise_57.jpg,0,l,3,33
