imageone,imagetwo,imagethree,imagefour,frequency,imageTL,imageBL,imageTR,imageBR,correct_answer
LZ_natural\LZ_natural_67.jpg, LZ_natural\LZ_natural_123.jpg, LZ_natural\LZ_natural_60.jpg, LZ_natural\LZ_natural_204.jpg,     3, LZ_natural\LZ_natural_172.jpg, LZ_natural\LZ_natural_134.jpg, LZ_natural\LZ_natural_163.jpg, LZ_natural\LZ_natural_204.jpg,     m
LZ_noise\scrambled_159.jpg, LZ_noise\scrambled_224.jpg, LZ_noise\scrambled_41.jpg, LZ_noise\scrambled_108.jpg,     1, LZ_noise\scrambled_174.jpg, LZ_noise\scrambled_224.jpg, LZ_noise\scrambled_25.jpg, LZ_noise\scrambled_33.jpg,     z
LZ_natural\LZ_natural_50.jpg, LZ_natural\LZ_natural_24.jpg, LZ_natural\LZ_natural_203.jpg, LZ_natural\LZ_natural_116.jpg,     1, LZ_natural\LZ_natural_50.jpg, LZ_natural\LZ_natural_85.jpg, LZ_natural\LZ_natural_169.jpg, LZ_natural\LZ_natural_78.jpg,     a
LZ_scrambled\scrambled_43.jpg, LZ_scrambled\scrambled_157.jpg, LZ_scrambled\scrambled_180.jpg, LZ_scrambled\scrambled_143.jpg,     4, LZ_scrambled\scrambled_240.jpg, LZ_scrambled\scrambled_207.jpg, LZ_scrambled\scrambled_221.jpg, LZ_scrambled\scrambled_143.jpg,     m
LZ_natural\LZ_natural_90.jpg, LZ_natural\LZ_natural_78.jpg, LZ_natural\LZ_natural_206.jpg, LZ_natural\LZ_natural_88.jpg,     4, LZ_natural\LZ_natural_194.jpg, LZ_natural\LZ_natural_93.jpg, LZ_natural\LZ_natural_206.jpg, LZ_natural\LZ_natural_16.jpg,     k
LZ_natural\LZ_natural_45.jpg, LZ_natural\LZ_natural_95.jpg, LZ_natural\LZ_natural_44.jpg, LZ_natural\LZ_natural_11.jpg,     3, LZ_natural\LZ_natural_223.jpg, LZ_natural\LZ_natural_230.jpg, LZ_natural\LZ_natural_130.jpg, LZ_natural\LZ_natural_11.jpg,     m
LZ_noise\scrambled_209.jpg, LZ_noise\scrambled_240.jpg, LZ_noise\scrambled_192.jpg, LZ_noise\scrambled_16.jpg,     2, LZ_noise\scrambled_158.jpg, LZ_noise\scrambled_96.jpg, LZ_noise\scrambled_192.jpg, LZ_noise\scrambled_227.jpg,     k
LZ_natural\LZ_natural_40.jpg, LZ_natural\LZ_natural_207.jpg, LZ_natural\LZ_natural_205.jpg, LZ_natural\LZ_natural_107.jpg,     2, LZ_natural\LZ_natural_185.jpg, LZ_natural\LZ_natural_207.jpg, LZ_natural\LZ_natural_142.jpg, LZ_natural\LZ_natural_231.jpg,     z
LZ_scrambled\scrambled_71.jpg, LZ_scrambled\scrambled_61.jpg, LZ_scrambled\scrambled_170.jpg, LZ_scrambled\scrambled_66.jpg,     1, LZ_scrambled\scrambled_58.jpg, LZ_scrambled\scrambled_78.jpg, LZ_scrambled\scrambled_213.jpg, LZ_scrambled\scrambled_66.jpg,     m
LZ_scrambled\scrambled_57.jpg, LZ_scrambled\scrambled_179.jpg, LZ_scrambled\scrambled_7.jpg, LZ_scrambled\scrambled_163.jpg,     3, LZ_scrambled\scrambled_57.jpg, LZ_scrambled\scrambled_103.jpg, LZ_scrambled\scrambled_203.jpg, LZ_scrambled\scrambled_112.jpg,     a
